Category,Question,Answer,ModelAnswer
webpages,Do students in Kiltie have to memorize music?,No,
webpages,Do I need to email my home address to the Kiltie Band Director if I'm interested in joining?,Yes,
webpages,Do I need to audition to join the Kiltie Band?,No,
webpages,Where does the Kiltie Band rehearse?,CUC Studio Theater,
webpages,When should I get an instrument from the Kiltie Band if I need one?,4:30p.m. before the first rehearsal,
webpages,When is Andrew Carnegie's birthday?,"November 25th, 1835",
webpages,What time are rehearsals on Game Days for the Kiltie Band?,9:30-11:00 a.m.,
webpages,How should Kilties promote the success of the Kiltie Band?,"attendance, attitude, and dependabiliy",
webpages,What should I email to the band director if I'm interested in joining the Kiltie Band?,"name, high school, address at Carnegie Mellon, home address, cell number, home number, whether you plan on being in the band or colorguard, if in the band what instrument(s) you play, and whether you need to borrow an instrument or equipment",
jsons,What journals has Alexander Waibel published in?,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), ArXiv",
jsons,What are the papers of Fernando-Diaz?,"Best-Case Retrieval Evaluation: Improving the Sensitivity of Reciprocal Rank with Lexicographic Precision, Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery, Overview of the TREC 2021 Fair Ranking Track",
jsons,What is the author ID of Chenyan Xiong?,144628574,
